pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
L__NOUN_VERB_VERB	14	0	plur	are	correct	original	the <unk> customs we have in our family	1	False	55302	6	8	the irish customs we have in our family are ; we make sinnel cake for easter , barn brack and col - cannon for Halloween . <eos>
L__NOUN_VERB_VERB	14	0	plur	is	wrong	original	the <unk> customs we have in our family	1	False	122154	6	8	the irish customs we have in our family are ; we make sinnel cake for easter , barn brack and col - cannon for Halloween . <eos>
L__NOUN_VERB_VERB	3	8	sing	refuses	correct	generated	I want the website you lasted to me	0	False	68	5	8	I want the website you lasted to me refuses to the November Road at April ( granted in Tuesday ) . <eos>
L__NOUN_VERB_VERB	3	8	sing	refuse	wrong	generated	I want the website you lasted to me	0	False	249	5	8	I want the website you lasted to me refuses to the November Road at April ( granted in Tuesday ) . <eos>
L__NOUN_VERB_VERB	8	8	plur	enjoy	correct	generated	The impossible happy views that jointly would choose from software	2	False	305	7	10	The impossible happy views that jointly would choose from software understand fault , growth , majority , determination , virtual volume and conventional regimes of sides and pieces -- permanent as the Prime notion . <eos>
L__NOUN_VERB_VERB	8	8	plur	enjoys	wrong	generated	The impossible happy views that jointly would choose from software	2	False	69	7	10	The impossible happy views that jointly would choose from software understand fault , growth , majority , determination , virtual volume and conventional regimes of sides and pieces -- permanent as the Prime notion . <eos>
R__VERB_NOUN_CCONJ_VERB	8	6	sing	tends	correct	generated	If you deny a degree who will provide to you and reflect he will explore and then defend his youth , and not tell what he is doing about why he makes habits at educational habits and	0	True	52	6	37	If you deny a degree who will provide to you and reflect he will explore and then defend his youth , and not tell what he is doing about why he makes habits at educational habits and holds they operate what you serve , why they will not consider for you , provide to this polluter ... he is the addition for you . <eos>
R__VERB_NOUN_CCONJ_VERB	8	6	sing	tend	wrong	generated	If you deny a degree who will provide to you and reflect he will explore and then defend his youth , and not tell what he is doing about why he makes habits at educational habits and	0	True	117	6	37	If you deny a degree who will provide to you and reflect he will explore and then defend his youth , and not tell what he is doing about why he makes habits at educational habits and holds they operate what you serve , why they will not consider for you , provide to this polluter ... he is the addition for you . <eos>
L__NOUN_VERB_VERB	2	4	plur	carry	correct	generated	<unk> I do <unk> flee to the field that the parties we thank or refer to	1	False	943	6	16	Whie I do n't flee to the field that the parties we thank or refer to serve no uncertainty on our currency ( which I suffer is frankly legislative ) , it does reconsider me why toys decide out a forthcoming commitment of cities to flee the daughter on . <eos>
L__NOUN_VERB_VERB	2	4	plur	carries	wrong	generated	<unk> I do <unk> flee to the field that the parties we thank or refer to	1	False	76	6	16	Whie I do n't flee to the field that the parties we thank or refer to serve no uncertainty on our currency ( which I suffer is frankly legislative ) , it does reconsider me why toys decide out a forthcoming commitment of cities to flee the daughter on . <eos>
L__NOUN_VERB_VERB	3	2	sing	meets	correct	generated	I prefer the tonight you created to me	0	False	150	5	8	I prefer the tonight you created to me receives to the York Netherlands at Indonesia ( transported in Lebanon ) . <eos>
L__NOUN_VERB_VERB	3	2	sing	meet	wrong	generated	I prefer the tonight you created to me	0	False	1044	5	8	I prefer the tonight you created to me receives to the York Netherlands at Indonesia ( transported in Lebanon ) . <eos>
L__NOUN_VERB_VERB	3	3	sing	creates	correct	generated	I describe the behaviour you needed to me	0	False	234	5	8	I describe the behaviour you needed to me goes to the Kashmir Future at Arafat ( designed in Sunday ) . <eos>
L__NOUN_VERB_VERB	3	3	sing	create	wrong	generated	I describe the behaviour you needed to me	0	False	1811	5	8	I describe the behaviour you needed to me goes to the Kashmir Future at Arafat ( designed in Sunday ) . <eos>
R__VERB_NOUN_CCONJ_VERB	2	9	plur	receive	correct	generated	Please remember me preserve if you propose any respects or	0	False	806	4	10	Please remember me preserve if you propose any respects or suggest anything urban . <eos>
R__VERB_NOUN_CCONJ_VERB	2	9	plur	receives	wrong	generated	Please remember me preserve if you propose any respects or	0	False	95	4	10	Please remember me preserve if you propose any respects or suggest anything urban . <eos>
L__NOUN_VERB_VERB	10	5	sing	represents	correct	generated	A Poland terrorism owned in Space thirty	0	False	543	5	7	"A Poland terrorism owned in Space thirty receives , "" Due to its thing astride the Canada Czech , El has fully been a deadline to the Child . <eos>"
L__NOUN_VERB_VERB	10	5	sing	represent	wrong	generated	A Poland terrorism owned in Space thirty	0	False	691	5	7	"A Poland terrorism owned in Space thirty receives , "" Due to its thing astride the Canada Czech , El has fully been a deadline to the Child . <eos>"
R__VERB_NOUN_CCONJ_VERB	7	9	plur	produce	correct	generated	You exist the mix and	0	False	767	4	5	You exist the mix and thank residence package into the thing . <eos>
R__VERB_NOUN_CCONJ_VERB	7	9	plur	produces	wrong	generated	You exist the mix and	0	False	91	4	5	You exist the mix and thank residence package into the thing . <eos>
R__VERB_NOUN_CCONJ_VERB	7	4	plur	manage	correct	generated	You intend the freedom and	0	False	407	4	5	You intend the freedom and lose path lot into the sovereignty . <eos>
R__VERB_NOUN_CCONJ_VERB	7	4	plur	manages	wrong	generated	You intend the freedom and	0	False	30	4	5	You intend the freedom and lose path lot into the sovereignty . <eos>
L__NOUN_VERB_VERB	2	0	plur	have	correct	original	<unk> I do <unk> subscribe to the notion that the things we watch or listen to	1	False	53146	6	16	Whie I do n't subscribe to the notion that the things we watch or listen to have no effect on our behavior ( which I think is patently rediculous ) , it does bother me when people single out a specific group of people to pin the blame on . <eos>
L__NOUN_VERB_VERB	2	0	plur	has	wrong	original	<unk> I do <unk> subscribe to the notion that the things we watch or listen to	1	False	34769	6	16	Whie I do n't subscribe to the notion that the things we watch or listen to have no effect on our behavior ( which I think is patently rediculous ) , it does bother me when people single out a specific group of people to pin the blame on . <eos>
L__NOUN_VERB_VERB	8	6	plur	add	correct	generated	The identical scientific schools that sufficiently would throw from reminder	2	False	965	7	10	The identical scientific schools that sufficiently would throw from reminder understand mining , deterioration , rotation , wine , sad directive and nuclear processes of politicians and regulations -- western as the Scotland flood . <eos>
L__NOUN_VERB_VERB	8	6	plur	adds	wrong	generated	The identical scientific schools that sufficiently would throw from reminder	2	False	77	7	10	The identical scientific schools that sufficiently would throw from reminder understand mining , deterioration , rotation , wine , sad directive and nuclear processes of politicians and regulations -- western as the Scotland flood . <eos>
R__VERB_NOUN_CCONJ_VERB	7	1	plur	tell	correct	generated	You insist the doctor and	0	False	984	4	5	You insist the doctor and choose population data into the warning . <eos>
R__VERB_NOUN_CCONJ_VERB	7	1	plur	tells	wrong	generated	You insist the doctor and	0	False	76	4	5	You insist the doctor and choose population data into the warning . <eos>
R__VERB_NOUN_CCONJ_VERB	4	6	plur	remain	correct	generated	Take me write if you suffer any machines or	0	False	1260	4	9	Take me write if you suffer any machines or die anything available . <eos>
R__VERB_NOUN_CCONJ_VERB	4	6	plur	remains	wrong	generated	Take me write if you suffer any machines or	0	False	804	4	9	Take me write if you suffer any machines or die anything available . <eos>
L__NOUN_VERB_VERB	14	8	plur	expect	correct	generated	the unaware teams we suffer in our certificate	1	False	805	6	8	the unaware teams we suffer in our certificate affirm ; we sell selection revenue for easter , terror mountain and guidance - committee for Korea . <eos>
L__NOUN_VERB_VERB	14	8	plur	expects	wrong	generated	the unaware teams we suffer in our certificate	1	False	86	6	8	the unaware teams we suffer in our certificate affirm ; we sell selection revenue for easter , terror mountain and guidance - committee for Korea . <eos>
L__NOUN_VERB_VERB	16	8	sing	enjoys	correct	generated	The first protection you begin why you admit on wall	0	False	69	8	10	The first protection you begin why you admit on wall appears that the procedure ground hopefully becomes out the statement and leads into the machine partnership . <eos>
L__NOUN_VERB_VERB	16	8	sing	enjoy	wrong	generated	The first protection you begin why you admit on wall	0	False	305	8	10	The first protection you begin why you admit on wall appears that the procedure ground hopefully becomes out the statement and leads into the machine partnership . <eos>
L__NOUN_VERB_VERB	4	4	sing	approves	correct	generated	My mode with acting the perspective therefore	0	False	44	6	7	My mode with acting the perspective therefore involves , could it be addressed that firmly everyone tested the consensus would or could overcome at any bombing , since we rapidly stood Laos and Palestinians and if they held they might have shared a fair scene ?? <eos>
L__NOUN_VERB_VERB	4	4	sing	approve	wrong	generated	My mode with acting the perspective therefore	0	False	411	6	7	My mode with acting the perspective therefore involves , could it be addressed that firmly everyone tested the consensus would or could overcome at any bombing , since we rapidly stood Laos and Palestinians and if they held they might have shared a fair scene ?? <eos>
L__NOUN_VERB_VERB	8	7	plur	agree	correct	generated	The optimistic pleasant hands that forth would remind from consensus	2	False	2888	7	10	The optimistic pleasant hands that forth would remind from consensus appreciate message , separation , society , label , competitive struggle and thorough producers of lessons and types -- governmental as the Germany nation . <eos>
L__NOUN_VERB_VERB	8	7	plur	agrees	wrong	generated	The optimistic pleasant hands that forth would remind from consensus	2	False	234	7	10	The optimistic pleasant hands that forth would remind from consensus appreciate message , separation , society , label , competitive struggle and thorough producers of lessons and types -- governmental as the Germany nation . <eos>
L__NOUN_VERB_VERB	11	2	sing	intends	correct	generated	The ancient struggle to remain for basic	0	False	462	5	7	The ancient struggle to remain for basic indicates to deliver four , or your household convenience concept chance , and assess . <eos>
L__NOUN_VERB_VERB	11	2	sing	intend	wrong	generated	The ancient struggle to remain for basic	0	False	632	5	7	The ancient struggle to remain for basic indicates to deliver four , or your household convenience concept chance , and assess . <eos>
L__NOUN_VERB_VERB	9	8	plur	understand	correct	generated	Afghan tests that pursuant would generate	1	False	1631	5	6	Afghan tests that pursuant would generate enjoy facilities , reversal , Spain vegetable and some neighbours of days . <eos>
L__NOUN_VERB_VERB	9	8	plur	understands	wrong	generated	Afghan tests that pursuant would generate	1	False	88	5	6	Afghan tests that pursuant would generate enjoy facilities , reversal , Spain vegetable and some neighbours of days . <eos>
R__VERB_NOUN_CCONJ_VERB	6	7	sing	refers	correct	generated	It knows the water for scrutiny expansion and	0	False	350	7	8	It knows the water for scrutiny expansion and threatens , “ We are delivered that the Washington should not investigate with financial - variety thoughts who suppose to trigger and contain desperately and eventually in the months , records , and circumstances of surprising bankruptcy . ” <eos>
R__VERB_NOUN_CCONJ_VERB	6	7	sing	refer	wrong	generated	It knows the water for scrutiny expansion and	0	False	789	7	8	It knows the water for scrutiny expansion and threatens , “ We are delivered that the Washington should not investigate with financial - variety thoughts who suppose to trigger and contain desperately and eventually in the months , records , and circumstances of surprising bankruptcy . ” <eos>
R__VERB_NOUN_CCONJ_VERB	5	3	plur	deserve	correct	generated	If you refer any positions or	0	False	257	4	6	If you refer any positions or deny any imprisonment apart unanimously , please make Chris Washington at five or Beijing York at fifty . <eos>
R__VERB_NOUN_CCONJ_VERB	5	3	plur	deserves	wrong	generated	If you refer any positions or	0	False	313	4	6	If you refer any positions or deny any imprisonment apart unanimously , please make Chris Washington at five or Beijing York at fifty . <eos>
L__NOUN_VERB_VERB	6	0	sing	points	correct	original	Can you accept that the road we are travelling	0	False	2253	4	9	Can you accept that the road we are travelling points toward a grim and painful future ? <eos>
L__NOUN_VERB_VERB	6	0	sing	point	wrong	original	Can you accept that the road we are travelling	0	False	6144	4	9	Can you accept that the road we are travelling points toward a grim and painful future ? <eos>
R__VERB_NOUN_CCONJ_VERB	2	1	plur	begin	correct	generated	Please forget me destroy if you recommend any carriers or	0	False	920	4	10	Please forget me destroy if you recommend any carriers or refuse anything interested . <eos>
R__VERB_NOUN_CCONJ_VERB	2	1	plur	begins	wrong	generated	Please forget me destroy if you recommend any carriers or	0	False	66	4	10	Please forget me destroy if you recommend any carriers or refuse anything interested . <eos>
L__NOUN_VERB_VERB	2	1	plur	remain	correct	generated	<unk> I do <unk> want to the motion that the staff we seem or continue to	1	False	1260	6	16	Whie I do n't want to the motion that the staff we seem or continue to tell no aftermath on our willingness ( which I hear is respectively revolutionary ) , it does compensate me whenever teachers want out a remote coffee of neighbours to verify the deregulation on . <eos>
L__NOUN_VERB_VERB	2	1	plur	remains	wrong	generated	<unk> I do <unk> want to the motion that the staff we seem or continue to	1	False	804	6	16	Whie I do n't want to the motion that the staff we seem or continue to tell no aftermath on our willingness ( which I hear is respectively revolutionary ) , it does compensate me whenever teachers want out a remote coffee of neighbours to verify the deregulation on . <eos>
R__VERB_NOUN_CCONJ_VERB	3	4	plur	see	correct	generated	Take me raise if you come any levels or	0	False	4638	4	9	Take me raise if you come any levels or carry anything outstanding . <eos>
R__VERB_NOUN_CCONJ_VERB	3	4	plur	sees	wrong	generated	Take me raise if you come any levels or	0	False	164	4	9	Take me raise if you come any levels or carry anything outstanding . <eos>
L__NOUN_VERB_VERB	14	9	plur	explain	correct	generated	the extraordinary backs we respond in our border	1	False	524	6	8	the extraordinary backs we respond in our border enjoy ; we pick preparation criticism for easter , premium consumption and contribution - dispute for Kabul . <eos>
L__NOUN_VERB_VERB	14	9	plur	explains	wrong	generated	the extraordinary backs we respond in our border	1	False	70	6	8	the extraordinary backs we respond in our border enjoy ; we pick preparation criticism for easter , premium consumption and contribution - dispute for Kabul . <eos>
L__NOUN_VERB_VERB	5	3	plur	ensure	correct	generated	I refer the responses on which I should regret your willingness	1	False	4348	8	11	I refer the responses on which I should regret your willingness eat : ( a ) Do you pay a former pursuit about the direction to narrow residence tests seen by Islam Al ? <eos>
L__NOUN_VERB_VERB	5	3	plur	ensures	wrong	generated	I refer the responses on which I should regret your willingness	1	False	95	8	11	I refer the responses on which I should regret your willingness eat : ( a ) Do you pay a former pursuit about the direction to narrow residence tests seen by Islam Al ? <eos>
L__NOUN_VERB_VERB	0	4	sing	expects	correct	generated	The map to compete in company	0	False	86	5	6	The map to compete in company offers that Constitutional European practices and Democrats and recent Jewish sanctions are ready to satisfy badly currently financial to the Europe in Austria than al - Financial aspects , and it would be strategic to come one 's opportunities off the historical presentation . <eos>
L__NOUN_VERB_VERB	0	4	sing	expect	wrong	generated	The map to compete in company	0	False	805	5	6	The map to compete in company offers that Constitutional European practices and Democrats and recent Jewish sanctions are ready to satisfy badly currently financial to the Europe in Austria than al - Financial aspects , and it would be strategic to come one 's opportunities off the historical presentation . <eos>
R__VERB_NOUN_CCONJ_VERB	7	8	plur	demonstrate	correct	generated	You indicate the nation and	0	False	445	4	5	You indicate the nation and spend lawyer sales into the surplus . <eos>
R__VERB_NOUN_CCONJ_VERB	7	8	plur	demonstrates	wrong	generated	You indicate the nation and	0	False	254	4	5	You indicate the nation and spend lawyer sales into the surplus . <eos>
L__NOUN_VERB_VERB	16	4	sing	applies	correct	generated	The first regime you proceed why you eat on country	0	False	706	8	10	The first regime you proceed why you eat on country includes that the consumer surveillance freely depends out the convention and comes into the correlation tourist . <eos>
L__NOUN_VERB_VERB	16	4	sing	apply	wrong	generated	The first regime you proceed why you eat on country	0	False	1475	8	10	The first regime you proceed why you eat on country includes that the consumer surveillance freely depends out the convention and comes into the correlation tourist . <eos>
L__NOUN_VERB_VERB	10	6	sing	recommends	correct	generated	A Pacific mediation imprisoned in London six	0	False	72	5	7	"A Pacific mediation imprisoned in London six takes , "" Due to its bank astride the Georgia League , USA has deliberately been a process to the Yesterday . <eos>"
L__NOUN_VERB_VERB	10	6	sing	recommend	wrong	generated	A Pacific mediation imprisoned in London six	0	False	260	5	7	"A Pacific mediation imprisoned in London six takes , "" Due to its bank astride the Georgia League , USA has deliberately been a process to the Yesterday . <eos>"
L__NOUN_VERB_VERB	6	3	sing	relates	correct	generated	Can you avoid that the trend we are preparing	0	False	380	4	9	Can you avoid that the trend we are preparing receives toward a hostile and comfortable replacement ? <eos>
L__NOUN_VERB_VERB	6	3	sing	relate	wrong	generated	Can you avoid that the trend we are preparing	0	False	257	4	9	Can you avoid that the trend we are preparing receives toward a hostile and comfortable replacement ? <eos>
L__NOUN_VERB_VERB	11	9	sing	extends	correct	generated	The optimistic society to put for preventive	0	False	78	5	7	The optimistic society to put for preventive applies to solve twenty , or your century consensus member composition , and approve . <eos>
L__NOUN_VERB_VERB	11	9	sing	extend	wrong	generated	The optimistic society to put for preventive	0	False	662	5	7	The optimistic society to put for preventive applies to solve twenty , or your century consensus member composition , and approve . <eos>
L__NOUN_VERB_VERB	16	3	sing	adds	correct	generated	The first bus you tolerate why you admit on destination	0	False	77	8	10	The first bus you tolerate why you admit on destination applies that the father victory therefore leaves out the format and begins into the legislature wood . <eos>
L__NOUN_VERB_VERB	16	3	sing	add	wrong	generated	The first bus you tolerate why you admit on destination	0	False	965	8	10	The first bus you tolerate why you admit on destination applies that the father victory therefore leaves out the format and begins into the legislature wood . <eos>
R__VERB_NOUN_CCONJ_VERB	3	0	plur	need	correct	original	Let me know if you have any questions or	0	False	10716	4	9	Let me know if you have any questions or need anything else . <eos>
R__VERB_NOUN_CCONJ_VERB	3	0	plur	needs	wrong	original	Let me know if you have any questions or	0	False	2512	4	9	Let me know if you have any questions or need anything else . <eos>
L__NOUN_VERB_VERB	1	2	sing	decides	correct	generated	An innovative animal earned in nine	0	False	78	4	6	"An innovative animal earned in nine generates there expect thirty "" powers "" in the United Americans , but inevitable remedies are hence fewer than this . <eos>"
L__NOUN_VERB_VERB	1	2	sing	decide	wrong	generated	An innovative animal earned in nine	0	False	780	4	6	"An innovative animal earned in nine generates there expect thirty "" powers "" in the United Americans , but inevitable remedies are hence fewer than this . <eos>"
R__VERB_NOUN_CCONJ_VERB	3	2	plur	respond	correct	generated	Take me suggest if you decide any sides or	0	False	725	4	9	Take me suggest if you decide any sides or die anything enormous . <eos>
R__VERB_NOUN_CCONJ_VERB	3	2	plur	responds	wrong	generated	Take me suggest if you decide any sides or	0	False	81	4	9	Take me suggest if you decide any sides or die anything enormous . <eos>
R__VERB_NOUN_CCONJ_VERB	1	4	plur	carry	correct	generated	Ladies indefinitely <unk> St two through Alliance two <unk> attempting you pick on the piece we serve and	0	True	943	7	18	Ladies indefinitely : St two through Alliance two ( attempting you pick on the piece we serve and remember preferably to problem the sympathy after we respond ) <eos>
R__VERB_NOUN_CCONJ_VERB	1	4	plur	carries	wrong	generated	Ladies indefinitely <unk> St two through Alliance two <unk> attempting you pick on the piece we serve and	0	True	76	7	18	Ladies indefinitely : St two through Alliance two ( attempting you pick on the piece we serve and remember preferably to problem the sympathy after we respond ) <eos>
L__NOUN_VERB_VERB	1	6	sing	demonstrates	correct	generated	An able evolution owned in nine	0	False	254	4	6	"An able evolution owned in nine follows there oppose six "" texts "" in the April Israelis , but operational goals are financially smaller than this . <eos>"
L__NOUN_VERB_VERB	1	6	sing	demonstrate	wrong	generated	An able evolution owned in nine	0	False	445	4	6	"An able evolution owned in nine follows there oppose six "" texts "" in the April Israelis , but operational goals are financially smaller than this . <eos>"
L__NOUN_VERB_VERB	2	8	plur	belong	correct	generated	<unk> I do <unk> want to the sensitivity that the minerals we remember or condemn to	1	False	236	6	16	Whie I do n't want to the sensitivity that the minerals we remember or condemn to thank no expertise on our tension ( which I provide is simply beneficial ) , it does join me whenever girls meet out a surprising chain of troops to grow the housing on . <eos>
L__NOUN_VERB_VERB	2	8	plur	belongs	wrong	generated	<unk> I do <unk> want to the sensitivity that the minerals we remember or condemn to	1	False	108	6	16	Whie I do n't want to the sensitivity that the minerals we remember or condemn to thank no expertise on our tension ( which I provide is simply beneficial ) , it does join me whenever girls meet out a surprising chain of troops to grow the housing on . <eos>
L__NOUN_VERB_VERB	1	7	sing	makes	correct	generated	An electoral item intended in three	0	False	1501	4	6	"An electoral item intended in three comes there oppose six "" requests "" in the Oslo Israelis , but electrical thanks are sometimes larger than this . <eos>"
L__NOUN_VERB_VERB	1	7	sing	make	wrong	generated	An electoral item intended in three	0	False	9033	4	6	"An electoral item intended in three comes there oppose six "" requests "" in the Oslo Israelis , but electrical thanks are sometimes larger than this . <eos>"
R__VERB_NOUN_CCONJ_VERB	8	8	sing	generates	correct	generated	If you recommend a humanity who will foresee to you and disappear he will obtain and then begin his satisfaction , and not remind what he is letting about why he focuses politics at illegal solutions and	0	True	37	6	37	If you recommend a humanity who will foresee to you and disappear he will obtain and then begin his satisfaction , and not remind what he is letting about why he focuses politics at illegal solutions and receives they eat what you come , why they will not continue for you , submit to this method ... he is the aspect for you . <eos>
R__VERB_NOUN_CCONJ_VERB	8	8	sing	generate	wrong	generated	If you recommend a humanity who will foresee to you and disappear he will obtain and then begin his satisfaction , and not remind what he is letting about why he focuses politics at illegal solutions and	0	True	116	6	37	If you recommend a humanity who will foresee to you and disappear he will obtain and then begin his satisfaction , and not remind what he is letting about why he focuses politics at illegal solutions and receives they eat what you come , why they will not continue for you , submit to this method ... he is the aspect for you . <eos>
R__VERB_NOUN_CCONJ_VERB	0	8	plur	suffer	correct	generated	Reports meet the indication but	0	False	333	4	5	Reports meet the indication but consider her rural timetable and the defence happens . <eos>
R__VERB_NOUN_CCONJ_VERB	0	8	plur	suffers	wrong	generated	Reports meet the indication but	0	False	54	4	5	Reports meet the indication but consider her rural timetable and the defence happens . <eos>
L__NOUN_VERB_VERB	13	7	sing	extends	correct	generated	The absolute favourable cigarette I have changed	0	False	78	4	7	The absolute favourable cigarette I have changed applies that in the rotation of UN eighteen tuna of the region is exceptionally geared in the panel the crop before the leader , this trafficking bought after the difficult reception . <eos>
L__NOUN_VERB_VERB	13	7	sing	extend	wrong	generated	The absolute favourable cigarette I have changed	0	False	662	4	7	The absolute favourable cigarette I have changed applies that in the rotation of UN eighteen tuna of the region is exceptionally geared in the panel the crop before the leader , this trafficking bought after the difficult reception . <eos>
L__NOUN_VERB_VERB	15	8	sing	exists	correct	generated	The expensive prior failure that he takes	1	False	385	4	7	The expensive prior failure that he takes appears that he necessarily protects his speakers and thereby brings cautious with his defensive mission . <eos>
L__NOUN_VERB_VERB	15	8	sing	exist	wrong	generated	The expensive prior failure that he takes	1	False	621	4	7	The expensive prior failure that he takes appears that he necessarily protects his speakers and thereby brings cautious with his defensive mission . <eos>
L__NOUN_VERB_VERB	6	1	sing	responds	correct	generated	Can you ignore that the degree we are visiting	0	False	81	4	9	Can you ignore that the degree we are visiting thinks toward a surprising and consistent variety ? <eos>
L__NOUN_VERB_VERB	6	1	sing	respond	wrong	generated	Can you ignore that the degree we are visiting	0	False	725	4	9	Can you ignore that the degree we are visiting thinks toward a surprising and consistent variety ? <eos>
R__VERB_NOUN_CCONJ_VERB	3	9	plur	make	correct	generated	Take me lose if you remember any blocks or	0	False	9033	4	9	Take me lose if you remember any blocks or pick anything incorrect . <eos>
R__VERB_NOUN_CCONJ_VERB	3	9	plur	makes	wrong	generated	Take me lose if you remember any blocks or	0	False	1501	4	9	Take me lose if you remember any blocks or pick anything incorrect . <eos>
R__VERB_NOUN_CCONJ_VERB	7	6	plur	want	correct	generated	You admit the thanks and	0	False	5663	4	5	You admit the thanks and listen cooperation committee into the bridge . <eos>
R__VERB_NOUN_CCONJ_VERB	7	6	plur	wants	wrong	generated	You admit the thanks and	0	False	709	4	5	You admit the thanks and listen cooperation committee into the bridge . <eos>
L__NOUN_VERB_VERB	10	3	sing	continues	correct	generated	A Japan racism attempted in Christmas four	0	False	459	5	7	"A Japan racism attempted in Christmas four goes , "" Due to its submarine astride the Venezuela Jean , Amsterdam has desperately been a programming to the None . <eos>"
L__NOUN_VERB_VERB	10	3	sing	continue	wrong	generated	A Japan racism attempted in Christmas four	0	False	2891	5	7	"A Japan racism attempted in Christmas four goes , "" Due to its submarine astride the Venezuela Jean , Amsterdam has desperately been a programming to the None . <eos>"
R__VERB_NOUN_CCONJ_VERB	2	0	plur	need	correct	original	Please let me know if you have any questions or	0	False	10716	4	10	Please let me know if you have any questions or need anything else . <eos>
R__VERB_NOUN_CCONJ_VERB	2	0	plur	needs	wrong	original	Please let me know if you have any questions or	0	False	2512	4	10	Please let me know if you have any questions or need anything else . <eos>
L__NOUN_VERB_VERB	16	1	sing	enjoys	correct	generated	The first discovery you decide why you allow on father	0	False	69	8	10	The first discovery you decide why you allow on father offers that the permission driver possibly seems out the capability and leads into the leadership consumer . <eos>
L__NOUN_VERB_VERB	16	1	sing	enjoy	wrong	generated	The first discovery you decide why you allow on father	0	False	305	8	10	The first discovery you decide why you allow on father offers that the permission driver possibly seems out the capability and leads into the leadership consumer . <eos>
L__NOUN_VERB_VERB	8	9	plur	insist	correct	generated	The ancient primary sessions that partly would solve from belief	2	False	383	7	10	The ancient primary sessions that partly would solve from belief operate diplomacy , struggle , tonight , victim , lengthy campaigning and various scenes of services and tools -- careful as the Bangladesh ceiling . <eos>
L__NOUN_VERB_VERB	8	9	plur	insists	wrong	generated	The ancient primary sessions that partly would solve from belief	2	False	71	7	10	The ancient primary sessions that partly would solve from belief operate diplomacy , struggle , tonight , victim , lengthy campaigning and various scenes of services and tools -- careful as the Bangladesh ceiling . <eos>
R__VERB_NOUN_CCONJ_VERB	3	6	plur	provide	correct	generated	Take me belong if you deserve any years or	0	False	2596	4	9	Take me belong if you deserve any years or deserve anything enthusiastic . <eos>
R__VERB_NOUN_CCONJ_VERB	3	6	plur	provides	wrong	generated	Take me belong if you deserve any years or	0	False	788	4	9	Take me belong if you deserve any years or deserve anything enthusiastic . <eos>
R__VERB_NOUN_CCONJ_VERB	4	3	plur	create	correct	generated	Take me miss if you receive any types or	0	False	1811	4	9	Take me miss if you receive any types or sell anything advanced . <eos>
R__VERB_NOUN_CCONJ_VERB	4	3	plur	creates	wrong	generated	Take me miss if you receive any types or	0	False	234	4	9	Take me miss if you receive any types or sell anything advanced . <eos>
R__VERB_NOUN_CCONJ_VERB	1	3	plur	make	correct	generated	Groups exceptionally <unk> Congress thousand through El fifty <unk> achieving you suppose on the strategy we refuse and	0	True	9033	7	18	Groups exceptionally : Congress thousand through El fifty ( achieving you suppose on the strategy we refuse and hear continually to reality the reflection after we die ) <eos>
R__VERB_NOUN_CCONJ_VERB	1	3	plur	makes	wrong	generated	Groups exceptionally <unk> Congress thousand through El fifty <unk> achieving you suppose on the strategy we refuse and	0	True	1501	7	18	Groups exceptionally : Congress thousand through El fifty ( achieving you suppose on the strategy we refuse and hear continually to reality the reflection after we die ) <eos>
L__NOUN_VERB_VERB	8	3	plur	explain	correct	generated	The ethnic dramatic sections that recently would withdraw from comparison	2	False	524	7	10	The ethnic dramatic sections that recently would withdraw from comparison assume detail , context , signature , jurisdiction , minor facility and governmental participants of students and civilians -- careful as the Cross species . <eos>
L__NOUN_VERB_VERB	8	3	plur	explains	wrong	generated	The ethnic dramatic sections that recently would withdraw from comparison	2	False	70	7	10	The ethnic dramatic sections that recently would withdraw from comparison assume detail , context , signature , jurisdiction , minor facility and governmental participants of students and civilians -- careful as the Cross species . <eos>
L__NOUN_VERB_VERB	6	4	sing	provides	correct	generated	Can you introduce that the site we are refusing	0	False	788	4	9	Can you introduce that the site we are refusing brings toward a small and honest provider ? <eos>
L__NOUN_VERB_VERB	6	4	sing	provide	wrong	generated	Can you introduce that the site we are refusing	0	False	2596	4	9	Can you introduce that the site we are refusing brings toward a small and honest provider ? <eos>
L__NOUN_VERB_VERB	3	9	sing	wants	correct	generated	I tell the confidentiality you claimed to me	0	False	709	5	8	I tell the confidentiality you claimed to me leaves to the Paris Hussein at Amnesty ( listened in Kashmir ) . <eos>
L__NOUN_VERB_VERB	3	9	sing	want	wrong	generated	I tell the confidentiality you claimed to me	0	False	5663	5	8	I tell the confidentiality you claimed to me leaves to the Paris Hussein at Amnesty ( listened in Kashmir ) . <eos>
R__VERB_NOUN_CCONJ_VERB	7	3	plur	suggest	correct	generated	You understand the telephone and	0	False	448	4	5	You understand the telephone and spend removal hypocrisy into the weekend . <eos>
R__VERB_NOUN_CCONJ_VERB	7	3	plur	suggests	wrong	generated	You understand the telephone and	0	False	196	4	5	You understand the telephone and spend removal hypocrisy into the weekend . <eos>
L__NOUN_VERB_VERB	4	5	sing	appears	correct	generated	My chocolate with abandoning the soil somehow	0	False	566	6	7	My chocolate with abandoning the soil somehow appears , could it be issued that highly everyone voted the contrast would or could initiate at any story , since we finally defended Rio and Democrats and if they lasted they might have brought a corporate contrast ?? <eos>
